Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Liverpool,26,18,7,1,62,26,36,61,2.35,58.7,23.9,34.8,1.34,W W D W D,60286,Mohamed Salah - 24,Alisson,
2,Arsenal,25,15,8,2,51,22,29,53,2.12,40.0,21.4,18.6,0.74,W D W W W,60276,Kai Havertz - 9,David Raya,
3,Nott'ham Forest,25,14,5,6,41,29,12,47,1.88,32.1,28.8,3.3,0.13,D W L W L,30056,Chris Wood - 18,Matz Sels,
4,Manchester City,25,13,5,7,52,35,17,44,1.76,46.0,34.6,11.4,0.46,D W W L W,52905,Erling Haaland - 19,Ederson,
5,Bournemouth,25,12,7,6,44,29,15,43,1.72,46.8,32.0,14.8,0.59,D W W L W,11213,Justin Kluivert - 11,Kepa Arrizabalaga,
6,Chelsea,25,12,7,6,47,34,13,43,1.72,49.2,35.6,13.5,0.54,D W L W L,39608,Cole Palmer - 14,Robert Sánchez,
7,Newcastle Utd,25,12,5,8,42,33,9,41,1.64,41.7,31.3,10.5,0.42,W L W L L,52186,Alexander Isak - 17,Nick Pope,
8,Fulham,25,10,9,6,38,33,5,39,1.56,36.1,28.0,8.1,0.32,L W L W W,26533,Raúl Jiménez - 9,Bernd Leno,
9,Aston Villa,26,10,9,7,37,40,-3,39,1.5,37.2,32.7,4.5,0.17,D D L D D,41925,Ollie Watkins - 12,Emiliano Martínez,
10,Brighton,25,9,10,6,38,38,0,37,1.48,33.7,36.9,-3.1,-0.12,W W L L W,32309,"Danny Welbeck, Kaoru Mitoma - 6",Bart Verbruggen,
11,Brentford,25,10,4,11,43,42,1,34,1.36,40.1,40.2,-0.1,0.0,D L W L W,19349,Bryan Mbeumo - 14,Mark Flekken,
12,Tottenham,25,9,3,13,49,37,12,30,1.2,41.8,42.0,-0.2,-0.01,L L L W W,61339,James Maddison - 9,Guglielmo Vicario,
13,Crystal Palace,25,7,9,9,29,32,-3,30,1.2,35.3,33.3,2.0,0.08,W W L W L,25134,Jean-Philippe Mateta - 11,Dean Henderson,
14,Everton,25,7,9,9,27,31,-4,30,1.2,26.3,32.2,-5.9,-0.24,W W W D W,38043,Iliman Ndiaye - 6,Jordan Pickford,
15,Manchester Utd,25,8,5,12,28,35,-7,29,1.16,35.3,38.6,-3.3,-0.13,W L W L L,73720,Amad Diallo - 6,André Onana,
16,West Ham,25,7,6,12,29,47,-18,27,1.08,32.7,43.2,-10.5,-0.42,W L D L L,62464,Jarrod Bowen - 6,Alphonse Areola,
17,Wolves,25,5,4,16,35,54,-19,19,0.76,27.2,41.1,-13.9,-0.55,L L L W L,30711,Matheus Cunha - 12,José Sá,
18,Ipswich Town,25,3,8,14,23,50,-27,17,0.68,22.7,50.3,-27.6,-1.1,L L L L D,29756,Liam Delap - 10,Arijanet Muric,
19,Leicester City,25,4,5,16,25,55,-30,17,0.68,23.6,48.0,-24.4,-0.98,L L W L L,31587,Jamie Vardy - 7,Mads Hermansen,
20,Southampton,25,2,3,20,19,57,-38,9,0.36,24.4,57.1,-32.6,-1.31,L L L W L,31125,Joe Aribo - 3,Aaron Ramsdale,
