rank,team,matches_played,wins,draws,losses,goals_for,goals_against,goal_difference,points,pts/mp,expected_goals,expected_goals_against,expected_goal_difference,xgd/90,last_five_matches,attendance_per_game,top_scorer,main_goalkeeper,win_percentage,loss_percentage,draw_percentage,goal_difference_per_match,goals_for_per_match,goals_against_per_match,expected_goal_difference_per_match,expected_goals_for_per_match,expected_goals_against_per_match,xg_efficiency,xga_efficiency,recent_wins,recent_draws,recent_losses,form_points,consistency_score,average_attendance,attendance_ratio,top_scorer_goals,top_scorer_contribution,team_tier
1,Liverpool,26,18,7,1,62,26,36,61,2.35,58.7,23.9,34.8,1.34,W W D W D,60286,Mohamed Salah - 24,Alisson,69.23076923076923,3.8461538461538463,26.923076923076923,1.3846153846153846,2.3846153846153846,1.0,1.3384615384615384,2.2576923076923077,0.9192307692307692,1.0562180579216354,1.087866108786611,3,2,0,11,,60286,0.8177699403147043,24.0,0.3870967741935484,Top
2,Arsenal,25,15,8,2,51,22,29,53,2.12,40.0,21.4,18.6,0.74,W D W W W,60276,Kai Havertz - 9,David Raya,60.0,8.0,32.0,1.16,2.04,0.88,0.7440000000000001,1.6,0.856,1.275,1.0280373831775702,4,1,0,13,,60276,0.8176342919153554,9.0,0.17647058823529413,Top
3,Nott'ham_Forest,25,14,5,6,41,29,12,47,1.88,32.1,28.8,3.3,0.13,D W L W L,30056,Chris Wood - 18,Matz Sels,56.00000000000001,24.0,20.0,0.48,1.64,1.16,0.132,1.284,1.1520000000000001,1.277258566978193,1.0069444444444444,2,1,2,7,,30056,0.4077048290830168,18.0,0.43902439024390244,Mid
4,Manchester_City,25,13,5,7,52,35,17,44,1.76,46.0,34.6,11.4,0.46,D W W L W,52905,Erling Haaland - 19,Ederson,52.0,28.000000000000004,20.0,0.68,2.08,1.4,0.456,1.84,1.3840000000000001,1.1304347826086956,1.0115606936416184,3,1,1,10,,52905,0.7176478567552903,19.0,0.36538461538461536,Mid
5,Bournemouth,25,12,7,6,44,29,15,43,1.72,46.8,32.0,14.8,0.59,D W W L W,11213,Justin Kluivert - 11,Kepa Arrizabalaga,48.0,24.0,28.000000000000004,0.6,1.76,1.16,0.5920000000000001,1.8719999999999999,1.28,0.9401709401709403,0.90625,3,1,1,10,,11213,0.15210255018990776,11.0,0.25,Mid
6,Chelsea,25,12,7,6,47,34,13,43,1.72,49.2,35.6,13.5,0.54,D W L W L,39608,Cole Palmer - 14,Robert Sánchez,48.0,24.0,28.000000000000004,0.52,1.88,1.36,0.54,1.9680000000000002,1.4240000000000002,0.9552845528455284,0.9550561797752809,2,1,2,7,,39608,0.5372761801410744,14.0,0.2978723404255319,Mid
7,Newcastle_Utd,25,12,5,8,42,33,9,41,1.64,41.7,31.3,10.5,0.42,W L W L L,52186,Alexander Isak - 17,Nick Pope,48.0,32.0,20.0,0.36,1.68,1.32,0.42,1.6680000000000001,1.252,1.0071942446043165,1.0543130990415335,2,0,3,6,,52186,0.7078947368421052,17.0,0.40476190476190477,Mid
8,Fulham,25,10,9,6,38,33,5,39,1.56,36.1,28.0,8.1,0.32,L W L W W,26533,Raúl Jiménez - 9,Bernd Leno,40.0,24.0,36.0,0.2,1.52,1.32,0.324,1.444,1.12,1.0526315789473684,1.1785714285714286,3,0,2,9,,26533,0.3599158979924037,9.0,0.23684210526315788,Mid
9,Aston_Villa,26,10,9,7,37,40,-3,39,1.5,37.2,32.7,4.5,0.17,D D L D D,41925,Ollie Watkins - 12,Emiliano Martínez,38.46153846153847,26.923076923076923,34.61538461538461,-0.11538461538461539,1.4230769230769231,1.5384615384615385,0.17307692307692307,1.4307692307692308,1.2576923076923079,0.9946236559139784,1.2232415902140672,0,4,1,4,,41925,0.5687059142702117,12.0,0.32432432432432434,Mid
10,Brighton,25,9,10,6,38,38,0,37,1.48,33.7,36.9,-3.1,-0.12,W W L L W,32309,"Danny Welbeck, Kaoru Mitoma - 6",Bart Verbruggen,36.0,24.0,40.0,0.0,1.52,1.52,-0.124,1.348,1.476,1.1275964391691393,1.029810298102981,3,0,2,9,,32309,0.4382664134563212,6.0,0.15789473684210525,Mid
